"CustomerID","MeanValue","LastTransaction","NoTransaction","MonetoryPercentile","FrequencyPercentile","RecencyPercentile","MonetoryScore","FrequencyScore","RecencyScore","MonetoryWeightedScore","FrequencyWeightedScore","RecencyWeightedScore","FinalScore","FinalWeightedScore","FinalCustomerClass","final_type"
"1240",2.86375,2004-07-10,8,0.0906292749658005,0.763337893296854,0.717168262653898,1,4,4,5,20,20,45,3,"Class-3","Casino"
"1241",58.822,2004-09-10,5,0.542065663474676,0.642612859097127,0.778043775649794,3,4,4,15,20,20,55,3.66666666666667,"Class-3","Casino"
"1242",55.5861764705882,2004-12-29,34,0.521374829001348,0.965800273597811,0.976915184678522,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"1243",72.08,2004-09-12,8,0.605335157318736,0.763337893296854,0.780608755129958,4,4,4,20,20,20,60,4,"Class-4","Casino"
"1244",40.608,2002-04-30,1,0.432968536251695,0,0.15218878248974,3,1,1,15,5,5,25,1.66666666666667,"Class-1","Hotel"
"1245",6.48,2002-05-10,2,0.134917920656636,0.352941176470588,0.163645690834473,1,2,1,5,10,5,20,1.33333333333333,"Class-1","Casino"
"1246",16.02,2002-05-14,1,0.228967168262658,0,0.167578659370725,2,1,1,10,5,5,20,1.33333333333333,"Class-1","Casino"
"1247",148.752222222222,2004-12-09,9,0.794459644322875,0.790697674418605,0.929890560875512,4,4,5,20,20,25,65,4.33333333333333,"Class-4","Casino"
"1248",159.29,2004-12-02,6,0.806258549931632,0.689466484268126,0.917407660738714,5,4,5,25,20,25,70,4.66666666666667,"Class-4","Casino"
"1249",52.26892,2004-11-21,25,0.501367989056065,0.941860465116279,0.895348837209302,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"125",-53.66125,2003-02-28,8,0.0213748290013679,0.763337893296854,0.500683994528043,1,4,3,5,20,15,40,2.66666666666667,"Class-2","Casino"
"1250",4.19,2002-05-26,1,0.108413132694939,0,0.182284541723666,1,1,1,5,5,5,15,1,"Class-1","Casino"
"1251",26.6,2004-06-03,4,0.325410396716823,0.581395348837209,0.691347469220245,2,3,4,10,15,20,45,3,"Class-3","Casino"
"1252",309.27,2002-10-13,1,0.902017783857779,0,0.410738714090287,5,1,3,25,5,15,45,3,"Class-3","Hotel"
