DIST_NAME,AC_NAME,AC_TYPE,Name,Gender,Caste,Age,Party,Votes,POSITION,Polled,Electors,MLA.12,Party.12,,Match,cand,const,party,Criminal Case ,Education ,Total Assets,ser,ABBAS AHAMADMariyahu,Abbas AhmadMARIYAHU
Varanasi,Varanasi North,GEN,ABDUL SAMAD ANSARI,M,GEN,42,INC,70515,2,227796,384603,RAVINDRA JAISWAL,BJP,ABDUL SAMAD ANSARIVaranasi North,Abdul Samad AnsariVARANASI NORTH,Abdul Samad Ansari,VARANASI NORTH,INC,8,10th Pass,34752230,1,,
Moradabad,Moradabad Nagar,GEN,ABDUL RAUK,M,GEN,52,PECP,633,9,276825,470792,MOHAMMAD YUSUF ANSARI,SP,ABDUL RAUKMoradabad Nagar,Abdul RaukMORADABAD NAGAR,Abdul Rauk,MORADABAD NAGAR,Peace Party,2,Literate,2389047,1,,
Hardoi,Bilgram-Mallanwan,GEN,ABDUL RAUF,M,GEN,62,RLD,846,8,222332,357744,BRIJESH KUMAR,BSP,ABDUL RAUFBilgram-Mallanwan,Abdul RaufBILGRAM MALLANWAN,Abdul Rauf,BILGRAM MALLANWAN,RLD,0,8th Pass,944000,NA,DR. SATISH CHANDRA DWIVEDIItwa,Dr. Satish Chandra DewediITWA
Balrampur,Tulsipur,GEN,ABDUL MASHHOOD KHAN MASOOD,M,GEN,55,SP,36549,3,197498,367415,ABDUL MASHHOOD KHAN,SP,ABDUL MASHHOOD KHAN MASOODTulsipur,Abdul Mashhood Khan MasoodTULSIPUR,Abdul Mashhood Khan Masood,TULSIPUR,SP,0,12th Pass,24524634,NA,,
Lucknow,Lucknow Central,GEN,ABDUL MAROOF KHAN,M,GEN,53,INC,12921,4,195036,366952,RAVIDAS MEHROTRA,SP,ABDUL MAROOF KHANLucknow Central,Abdul Maroof KhanLUCKNOW CENTRAL,Abdul Maroof Khan,LUCKNOW CENTRAL,INC,0,Graduate,84947076,NA,,
Hardoi,Sandila,GEN,ABDUL MANNAN,M,GEN,60,SP,69959,2,198651,334078,KUNWAR MAHABIR SINGH,SP,ABDUL MANNANSandila,Abdul MannanSANDILA,Abdul Mannan,SANDILA,SP,0,Graduate,25422000,NA,,
Sultanpur,Sultanpur,GEN,ABDUL MABOOD IDARISI,M,GEN,48,ADPT,460,13,205082,360898,ANOOP SANDA,SP,ABDUL MABOOD IDARISISultanpur,Abdul MaboodSULTANPUR,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,1053000,NA,,
Pratapgarh,Vishwanathganj,GEN,ABDUL LATIF,M,GEN,35,VIP,1591,10,196702,380507,RAJA RAM,SP,ABDUL LATIFVishwanathganj,Abdul LatifVISHWANATH GANJ,Abdul Latif,VISHWANATH GANJ,VANCHITSAMAJ INSAAF PARTY,0,5th Pass,148000,NA,,
Gonda,Gaura,GEN,ABDUL KALAM,M,GEN,56,BSP,38667,3,173404,311835,KUNWAR ANAND SINGH,SP,ABDUL KALAMGaura,Abdul KalamGAURA,Abdul Kalam,GAURA,BSP,2,Graduate,22873529,1,,
Hardoi,Bilgram-Mallanwan,GEN,ABDUL AZIZ,M,GEN,54,AIMIM,2716,4,222332,357744,BRIJESH KUMAR,BSP,ABDUL AZIZBilgram-Mallanwan,Abdul AzizBILGRAM MALLANWAN,Abdul Aziz,BILGRAM MALLANWAN,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,7580000,NA,DR. DHARMPAL SINGHEtmadpur,Dr Dharmpal SinghETMADPUR
Fatehpur,Ayah Shah,GEN,ABBAS MEHNDI,M,GEN,46,PECP,2159,4,150949,260518,AYODHYA PRASAD PAL,BSP,ABBAS MEHNDIAyah Shah,Abbas MehandiAYAH SHAH,Abbas Mehandi,AYAH SHAH,Peace Party,0,12th Pass,503000,NA,ARVINDA KUMAR SINGH &#39;GOPE&#39;Ram Nagar,Arvinda Kumar SinghRAM NAGAR
Mau,Ghosi,GEN,ABBAS ANSARI,M,GEN,25,BSP,81295,2,241719,410326,SUDHAKAR,SP,ABBAS ANSARIGhosi,Abbas AnsariGHOSI,Abbas Ansari,GHOSI,BSP,0,12th Pass,44176635,NA,,
Barabanki,Rudauli,GEN,ABBAS ALI ZAIDI URF RUSHDI MIYAN,M,GEN,44,SP,59052,3,210250,336229,RAM CHANDRA YADAV,BJP,ABBAS ALI ZAIDI URF RUSHDI MIYANRudauli,Abbas Ali Zaidi Urf Rushdi MiyanRUDAULI,Abbas Ali Zaidi Urf Rushdi Miyan,RUDAULI,SP,0,Graduate,22277366,NA,,
Faizabad,Rudauli,GEN,ABBAS ALI ZAIDI URF RUSHDI MIYAN,M,GEN,44,SP,59052,4,210250,336229,RAM CHANDRA YADAV,BJP,ABBAS ALI ZAIDI URF RUSHDI MIYANRudauli,Abbas Ali Zaidi Urf Rushdi MiyanRUDAULI,Abbas Ali Zaidi Urf Rushdi Miyan,RUDAULI,SP,0,Graduate,22277366,NA,,
Jaunpur,Mariyahu,GEN,ABBAS AHAMAD,M,GEN,46,IEMC,1057,10,180072,308120,SHRADDHA YADAV,SP,ABBAS AHAMADMariyahu,Abbas AhmadMARIYAHU,Abbas Ahmad,MARIYAHU,Ittehad-E-Millait Council,1,Literate,1131432,NA,RAM ASREYRaniganj,Ram AsareyRANIGANJ
Balrampur,Tulsipur,GEN,AATMARAM,M,GEN,40,BSRD,1087,11,197498,367415,ABDUL MASHHOOD KHAN,SP,AATMARAMTulsipur,AatmaramTULSIPUR,Aatmaram,TULSIPUR,Bharatiya Subhash Sena,0,Literate,782500,NA,,
