,s2.i,s1.i,s2name,s1name,jw,jaccard,dl,lv
111,1,496,175-LUCKNOW CANTT.,,1,Inf,NA,NA
112,1,497,175-LUCKNOW CANTT.,,1,Inf,NA,NA
113,1,498,175-LUCKNOW CANTT.,,1,Inf,NA,NA
114,1,499,175-LUCKNOW CANTT.,,1,Inf,NA,NA
115,1,500,175-LUCKNOW CANTT.,,1,Inf,NA,NA
116,1,501,175-LUCKNOW CANTT.,,1,Inf,NA,NA
117,1,502,175-LUCKNOW CANTT.,,1,Inf,NA,NA
118,1,503,175-LUCKNOW CANTT.,,1,Inf,NA,NA
119,1,504,175-LUCKNOW CANTT.,,1,Inf,NA,NA
120,1,505,175-LUCKNOW CANTT.,,1,Inf,NA,NA
121,1,506,175-LUCKNOW CANTT.,,1,Inf,NA,NA
122,1,507,175-LUCKNOW CANTT.,,1,Inf,NA,NA
123,1,508,175-LUCKNOW CANTT.,,1,Inf,NA,NA
124,1,509,175-LUCKNOW CANTT.,,1,Inf,NA,NA
125,1,510,175-LUCKNOW CANTT.,,1,Inf,NA,NA
126,1,511,175-LUCKNOW CANTT.,,1,Inf,NA,NA
127,1,512,175-LUCKNOW CANTT.,,1,Inf,NA,NA
128,1,513,175-LUCKNOW CANTT.,,1,Inf,NA,NA
129,1,514,175-LUCKNOW CANTT.,,1,Inf,NA,NA
130,1,515,175-LUCKNOW CANTT.,,1,Inf,NA,NA
131,1,516,175-LUCKNOW CANTT.,,1,Inf,NA,NA
132,1,517,175-LUCKNOW CANTT.,,1,Inf,NA,NA
133,1,518,175-LUCKNOW CANTT.,,1,Inf,NA,NA
134,1,519,175-LUCKNOW CANTT.,,1,Inf,NA,NA
135,1,520,175-LUCKNOW CANTT.,,1,Inf,NA,NA
136,1,521,175-LUCKNOW CANTT.,,1,Inf,NA,NA
137,1,522,175-LUCKNOW CANTT.,,1,Inf,NA,NA
138,1,523,175-LUCKNOW CANTT.,,1,Inf,NA,NA
139,1,524,175-LUCKNOW CANTT.,,1,Inf,NA,NA
140,1,525,175-LUCKNOW CANTT.,,1,Inf,NA,NA
