,s2.i,s1.i,s2name,s1name,jw,jaccard,dl,lv
882,3,360,KASTA,Phephana,NA,NA,7,7
884,3,363,KASTA,Bairia,NA,NA,4,4
885,3,364,KASTA,Badlapur,NA,NA,6,6
886,3,365,KASTA,Shahganj,NA,NA,6,6
887,3,366,KASTA,Jaunpur,NA,NA,6,6
888,3,367,KASTA,Malhani,NA,NA,5,5
889,3,370,KASTA,Mariyahu,NA,NA,6,6
890,3,371,KASTA,Zafrabad,NA,NA,6,6
891,3,373,KASTA,Jakhanian ,NA,NA,7,7
892,3,374,KASTA,Saidpur ,NA,NA,7,7
893,3,375,KASTA,Ghazipur,NA,NA,7,7
894,3,376,KASTA,Jangipur,NA,NA,7,7
895,3,377,KASTA,Zahoorabad,NA,NA,8,8
896,3,379,KASTA,Zamania,NA,NA,5,5
899,3,383,KASTA,Chakia ,NA,NA,5,5
900,3,384,KASTA,Pindra,NA,NA,5,5
901,3,385,KASTA,Ajagara ,NA,NA,6,6
902,3,387,KASTA,Rohaniya,NA,NA,6,6
903,3,391,KASTA,Sevapuri,NA,NA,7,7
904,3,392,KASTA,Bhadohi,NA,NA,6,6
905,3,393,KASTA,Gyanpur,NA,NA,6,6
906,3,394,KASTA,Aurai ,NA,NA,5,5
907,3,395,KASTA,Chhanbey ,NA,NA,8,8
908,3,397,KASTA,Majhawan,NA,NA,6,6
909,3,398,KASTA,Chunar,NA,NA,5,5
910,3,399,KASTA,Marihan,NA,NA,5,5
911,3,400,KASTA,Ghorawal,NA,NA,7,7
912,3,401,KASTA,Robertsganj,NA,NA,9,9
913,3,402,KASTA,Obra,NA,NA,4,4
914,3,403,KASTA,Duddhi ,NA,NA,7,7
915,3,404,KASTA,,NA,NA,5,5
916,3,405,KASTA,,NA,NA,5,5
917,3,406,KASTA,,NA,NA,5,5
918,3,407,KASTA,,NA,NA,5,5
919,3,408,KASTA,,NA,NA,5,5
920,3,409,KASTA,,NA,NA,5,5
921,3,410,KASTA,,NA,NA,5,5
922,3,411,KASTA,,NA,NA,5,5
923,3,412,KASTA,,NA,NA,5,5
924,3,413,KASTA,,NA,NA,5,5
925,3,414,KASTA,,NA,NA,5,5
926,3,415,KASTA,,NA,NA,5,5
927,3,416,KASTA,,NA,NA,5,5
928,3,417,KASTA,,NA,NA,5,5
929,3,418,KASTA,,NA,NA,5,5
930,3,419,KASTA,,NA,NA,5,5
931,3,420,KASTA,,NA,NA,5,5
932,3,421,KASTA,,NA,NA,5,5
933,3,422,KASTA,,NA,NA,5,5
934,3,423,KASTA,,NA,NA,5,5
935,3,424,KASTA,,NA,NA,5,5
936,3,425,KASTA,,NA,NA,5,5
937,3,426,KASTA,,NA,NA,5,5
938,3,427,KASTA,,NA,NA,5,5
939,3,428,KASTA,,NA,NA,5,5
940,3,429,KASTA,,NA,NA,5,5
941,3,430,KASTA,,NA,NA,5,5
942,3,431,KASTA,,NA,NA,5,5
943,3,432,KASTA,,NA,NA,5,5
944,3,433,KASTA,,NA,NA,5,5
945,3,434,KASTA,,NA,NA,5,5
946,3,435,KASTA,,NA,NA,5,5
947,3,436,KASTA,,NA,NA,5,5
948,3,437,KASTA,,NA,NA,5,5
949,3,438,KASTA,,NA,NA,5,5
950,3,439,KASTA,,NA,NA,5,5
951,3,440,KASTA,,NA,NA,5,5
952,3,441,KASTA,,NA,NA,5,5
953,3,442,KASTA,,NA,NA,5,5
954,3,443,KASTA,,NA,NA,5,5
955,3,444,KASTA,,NA,NA,5,5
956,3,445,KASTA,,NA,NA,5,5
957,3,446,KASTA,,NA,NA,5,5
958,3,447,KASTA,,NA,NA,5,5
959,3,448,KASTA,,NA,NA,5,5
960,3,449,KASTA,,NA,NA,5,5
961,3,450,KASTA,,NA,NA,5,5
962,3,451,KASTA,,NA,NA,5,5
963,3,452,KASTA,,NA,NA,5,5
964,3,453,KASTA,,NA,NA,5,5
965,3,454,KASTA,,NA,NA,5,5
966,3,455,KASTA,,NA,NA,5,5
967,3,456,KASTA,,NA,NA,5,5
968,3,457,KASTA,,NA,NA,5,5
969,3,458,KASTA,,NA,NA,5,5
970,3,459,KASTA,,NA,NA,5,5
971,3,460,KASTA,,NA,NA,5,5
972,3,461,KASTA,,NA,NA,5,5
973,3,462,KASTA,,NA,NA,5,5
974,3,463,KASTA,,NA,NA,5,5
975,3,464,KASTA,,NA,NA,5,5
976,3,465,KASTA,,NA,NA,5,5
977,3,466,KASTA,,NA,NA,5,5
978,3,467,KASTA,,NA,NA,5,5
979,3,468,KASTA,,NA,NA,5,5
980,3,469,KASTA,,NA,NA,5,5
981,3,470,KASTA,,NA,NA,5,5
982,3,471,KASTA,,NA,NA,5,5
983,3,472,KASTA,,NA,NA,5,5
984,3,473,KASTA,,NA,NA,5,5
985,3,474,KASTA,,NA,NA,5,5
986,3,475,KASTA,,NA,NA,5,5
987,3,476,KASTA,,NA,NA,5,5
988,3,477,KASTA,,NA,NA,5,5
989,3,478,KASTA,,NA,NA,5,5
990,3,479,KASTA,,NA,NA,5,5
991,3,480,KASTA,,NA,NA,5,5
992,3,481,KASTA,,NA,NA,5,5
993,3,482,KASTA,,NA,NA,5,5
994,3,483,KASTA,,NA,NA,5,5
995,3,484,KASTA,,NA,NA,5,5
996,3,485,KASTA,,NA,NA,5,5
997,3,486,KASTA,,NA,NA,5,5
998,3,487,KASTA,,NA,NA,5,5
999,3,488,KASTA,,NA,NA,5,5
1000,3,489,KASTA,,NA,NA,5,5
1001,3,490,KASTA,,NA,NA,5,5
1002,3,491,KASTA,,NA,NA,5,5
1003,3,492,KASTA,,NA,NA,5,5
1004,3,493,KASTA,,NA,NA,5,5
1005,3,494,KASTA,,NA,NA,5,5
1006,3,495,KASTA,,NA,NA,5,5
1007,3,496,KASTA,,NA,NA,5,5
1008,3,497,KASTA,,NA,NA,5,5
1009,3,498,KASTA,,NA,NA,5,5
1010,3,499,KASTA,,NA,NA,5,5
1011,3,500,KASTA,,NA,NA,5,5
1012,3,501,KASTA,,NA,NA,5,5
1013,3,502,KASTA,,NA,NA,5,5
1014,3,503,KASTA,,NA,NA,5,5
1015,3,504,KASTA,,NA,NA,5,5
1016,3,505,KASTA,,NA,NA,5,5
1017,3,506,KASTA,,NA,NA,5,5
1018,3,507,KASTA,,NA,NA,5,5
1019,3,508,KASTA,,NA,NA,5,5
1020,3,509,KASTA,,NA,NA,5,5
1021,3,510,KASTA,,NA,NA,5,5
1022,3,511,KASTA,,NA,NA,5,5
1023,3,512,KASTA,,NA,NA,5,5
1024,3,513,KASTA,,NA,NA,5,5
1025,3,514,KASTA,,NA,NA,5,5
1026,3,515,KASTA,,NA,NA,5,5
1027,3,516,KASTA,,NA,NA,5,5
1028,3,517,KASTA,,NA,NA,5,5
1029,3,518,KASTA,,NA,NA,5,5
1030,3,519,KASTA,,NA,NA,5,5
1031,3,520,KASTA,,NA,NA,5,5
1032,3,521,KASTA,,NA,NA,5,5
1033,3,522,KASTA,,NA,NA,5,5
1034,3,523,KASTA,,NA,NA,5,5
1035,3,524,KASTA,,NA,NA,5,5
1036,3,525,KASTA,,NA,NA,5,5
1037,3,526,KASTA,,NA,NA,5,5
1038,3,527,KASTA,,NA,NA,5,5
1039,3,528,KASTA,,NA,NA,5,5
1040,3,529,KASTA,,NA,NA,5,5
1041,3,530,KASTA,,NA,NA,5,5
1042,3,531,KASTA,,NA,NA,5,5
1043,3,532,KASTA,,NA,NA,5,5
1044,3,533,KASTA,,NA,NA,5,5
1045,3,534,KASTA,,NA,NA,5,5
1046,3,535,KASTA,,NA,NA,5,5
1047,3,536,KASTA,,NA,NA,5,5
1048,3,537,KASTA,,NA,NA,5,5
1049,3,538,KASTA,,NA,NA,5,5
1050,3,539,KASTA,,NA,NA,5,5
1051,3,540,KASTA,,NA,NA,5,5
1052,3,541,KASTA,,NA,NA,5,5
1053,3,542,KASTA,,NA,NA,5,5
1054,3,543,KASTA,,NA,NA,5,5
1055,3,544,KASTA,,NA,NA,5,5
1056,3,545,KASTA,,NA,NA,5,5
1057,3,546,KASTA,,NA,NA,5,5
1058,3,547,KASTA,,NA,NA,5,5
1059,3,548,KASTA,,NA,NA,5,5
1060,3,549,KASTA,,NA,NA,5,5
1061,3,550,KASTA,,NA,NA,5,5
1062,3,551,KASTA,,NA,NA,5,5
1063,3,552,KASTA,,NA,NA,5,5
1064,3,553,KASTA,,NA,NA,5,5
1065,3,554,KASTA,,NA,NA,5,5
1066,3,555,KASTA,,NA,NA,5,5
1067,3,556,KASTA,,NA,NA,5,5
1068,3,557,KASTA,,NA,NA,5,5
1069,3,558,KASTA,,NA,NA,5,5
1070,3,559,KASTA,,NA,NA,5,5
1071,3,560,KASTA,,NA,NA,5,5
1072,3,561,KASTA,,NA,NA,5,5
1073,3,562,KASTA,,NA,NA,5,5
1074,3,563,KASTA,,NA,NA,5,5
1075,3,564,KASTA,,NA,NA,5,5
1076,3,565,KASTA,,NA,NA,5,5
1077,3,566,KASTA,,NA,NA,5,5
1078,3,567,KASTA,,NA,NA,5,5
1079,3,568,KASTA,,NA,NA,5,5
1080,3,569,KASTA,,NA,NA,5,5
1081,3,570,KASTA,,NA,NA,5,5
1082,3,571,KASTA,,NA,NA,5,5
1083,3,572,KASTA,,NA,NA,5,5
1084,3,573,KASTA,,NA,NA,5,5
1085,3,574,KASTA,,NA,NA,5,5
1086,3,575,KASTA,,NA,NA,5,5
1087,3,576,KASTA,,NA,NA,5,5
1088,3,577,KASTA,,NA,NA,5,5
1089,3,578,KASTA,,NA,NA,5,5
1090,3,579,KASTA,,NA,NA,5,5
1091,3,580,KASTA,,NA,NA,5,5
1092,3,581,KASTA,,NA,NA,5,5
1093,3,582,KASTA,,NA,NA,5,5
1094,3,583,KASTA,,NA,NA,5,5
1095,3,584,KASTA,,NA,NA,5,5
1096,3,585,KASTA,,NA,NA,5,5
1097,3,586,KASTA,,NA,NA,5,5
1098,3,587,KASTA,,NA,NA,5,5
1099,3,588,KASTA,,NA,NA,5,5
1100,3,589,KASTA,,NA,NA,5,5
1101,3,590,KASTA,,NA,NA,5,5
1102,3,591,KASTA,,NA,NA,5,5
1103,3,592,KASTA,,NA,NA,5,5
1104,3,593,KASTA,,NA,NA,5,5
1105,3,594,KASTA,,NA,NA,5,5
1106,3,595,KASTA,,NA,NA,5,5
1107,3,596,KASTA,,NA,NA,5,5
1108,3,597,KASTA,,NA,NA,5,5
1109,3,598,KASTA,,NA,NA,5,5
1110,3,599,KASTA,,NA,NA,5,5
1111,3,600,KASTA,,NA,NA,5,5
1112,3,601,KASTA,,NA,NA,5,5
1113,3,602,KASTA,,NA,NA,5,5
1114,3,603,KASTA,,NA,NA,5,5
1115,3,604,KASTA,,NA,NA,5,5
1116,3,605,KASTA,,NA,NA,5,5
1117,3,606,KASTA,,NA,NA,5,5
1118,3,607,KASTA,,NA,NA,5,5
1119,3,608,KASTA,,NA,NA,5,5
1120,3,609,KASTA,,NA,NA,5,5
1121,3,610,KASTA,,NA,NA,5,5
1122,3,611,KASTA,,NA,NA,5,5
1123,3,612,KASTA,,NA,NA,5,5
1124,3,613,KASTA,,NA,NA,5,5
1125,3,614,KASTA,,NA,NA,5,5
1126,3,615,KASTA,,NA,NA,5,5
1127,3,616,KASTA,,NA,NA,5,5
1128,3,617,KASTA,,NA,NA,5,5
1129,3,618,KASTA,,NA,NA,5,5
1130,3,619,KASTA,,NA,NA,5,5
1131,3,620,KASTA,,NA,NA,5,5
1132,3,621,KASTA,,NA,NA,5,5
1133,3,622,KASTA,,NA,NA,5,5
1134,3,623,KASTA,,NA,NA,5,5
1135,3,624,KASTA,,NA,NA,5,5
1136,3,625,KASTA,,NA,NA,5,5
1137,3,626,KASTA,,NA,NA,5,5
1138,3,627,KASTA,,NA,NA,5,5
1139,3,628,KASTA,,NA,NA,5,5
1140,3,629,KASTA,,NA,NA,5,5
1141,3,630,KASTA,,NA,NA,5,5
1142,3,631,KASTA,,NA,NA,5,5
1143,3,632,KASTA,,NA,NA,5,5
1144,3,633,KASTA,,NA,NA,5,5
1145,3,634,KASTA,,NA,NA,5,5
1146,3,635,KASTA,,NA,NA,5,5
1147,3,636,KASTA,,NA,NA,5,5
1148,3,637,KASTA,,NA,NA,5,5
1149,3,638,KASTA,,NA,NA,5,5
1150,3,639,KASTA,,NA,NA,5,5
1151,3,640,KASTA,,NA,NA,5,5
1152,3,641,KASTA,,NA,NA,5,5
1153,3,642,KASTA,,NA,NA,5,5
1154,3,643,KASTA,,NA,NA,5,5
1155,3,644,KASTA,,NA,NA,5,5
1156,3,645,KASTA,,NA,NA,5,5
1157,3,646,KASTA,,NA,NA,5,5
1158,3,647,KASTA,,NA,NA,5,5
1159,3,648,KASTA,,NA,NA,5,5
1160,3,649,KASTA,,NA,NA,5,5
1161,3,650,KASTA,,NA,NA,5,5
1162,3,651,KASTA,,NA,NA,5,5
1163,3,652,KASTA,,NA,NA,5,5
1164,3,653,KASTA,,NA,NA,5,5
1165,3,654,KASTA,,NA,NA,5,5
1166,3,655,KASTA,,NA,NA,5,5
1167,3,656,KASTA,,NA,NA,5,5
1168,3,657,KASTA,,NA,NA,5,5
1169,3,658,KASTA,,NA,NA,5,5
1170,3,659,KASTA,,NA,NA,5,5
1171,3,660,KASTA,,NA,NA,5,5
1172,3,661,KASTA,,NA,NA,5,5
1173,3,662,KASTA,,NA,NA,5,5
1174,3,663,KASTA,,NA,NA,5,5
1175,3,664,KASTA,,NA,NA,5,5
1176,3,665,KASTA,,NA,NA,5,5
1177,3,666,KASTA,,NA,NA,5,5
1178,3,667,KASTA,,NA,NA,5,5
1179,3,668,KASTA,,NA,NA,5,5
1180,3,669,KASTA,,NA,NA,5,5
1181,3,670,KASTA,,NA,NA,5,5
1182,3,671,KASTA,,NA,NA,5,5
1183,3,672,KASTA,,NA,NA,5,5
1184,3,673,KASTA,,NA,NA,5,5
1185,3,674,KASTA,,NA,NA,5,5
1186,3,675,KASTA,,NA,NA,5,5
1187,3,676,KASTA,,NA,NA,5,5
1188,3,677,KASTA,,NA,NA,5,5
1189,3,678,KASTA,,NA,NA,5,5
1190,3,679,KASTA,,NA,NA,5,5
1191,3,680,KASTA,,NA,NA,5,5
1192,3,681,KASTA,,NA,NA,5,5
1193,3,682,KASTA,,NA,NA,5,5
1194,3,683,KASTA,,NA,NA,5,5
1195,3,684,KASTA,,NA,NA,5,5
1196,3,685,KASTA,,NA,NA,5,5
1197,3,686,KASTA,,NA,NA,5,5
1198,3,687,KASTA,,NA,NA,5,5
1199,3,688,KASTA,,NA,NA,5,5
1200,3,689,KASTA,,NA,NA,5,5
1201,3,690,KASTA,,NA,NA,5,5
1202,3,691,KASTA,,NA,NA,5,5
1203,3,692,KASTA,,NA,NA,5,5
1204,3,693,KASTA,,NA,NA,5,5
1205,3,694,KASTA,,NA,NA,5,5
1206,3,695,KASTA,,NA,NA,5,5
1207,3,696,KASTA,,NA,NA,5,5
1208,3,697,KASTA,,NA,NA,5,5
1209,3,698,KASTA,,NA,NA,5,5
1210,3,699,KASTA,,NA,NA,5,5
1211,3,700,KASTA,,NA,NA,5,5
1212,3,701,KASTA,,NA,NA,5,5
1213,3,702,KASTA,,NA,NA,5,5
1214,3,703,KASTA,,NA,NA,5,5
1215,3,704,KASTA,,NA,NA,5,5
1216,3,705,KASTA,,NA,NA,5,5
1217,3,706,KASTA,,NA,NA,5,5
1218,3,707,KASTA,,NA,NA,5,5
1219,3,708,KASTA,,NA,NA,5,5
1220,3,709,KASTA,,NA,NA,5,5
1221,3,710,KASTA,,NA,NA,5,5
1222,3,711,KASTA,,NA,NA,5,5
1223,3,712,KASTA,,NA,NA,5,5
1224,3,713,KASTA,,NA,NA,5,5
1225,3,714,KASTA,,NA,NA,5,5
1226,3,715,KASTA,,NA,NA,5,5
1227,3,716,KASTA,,NA,NA,5,5
1228,3,717,KASTA,,NA,NA,5,5
1229,3,718,KASTA,,NA,NA,5,5
1230,3,719,KASTA,,NA,NA,5,5
1231,3,720,KASTA,,NA,NA,5,5
1232,3,721,KASTA,,NA,NA,5,5
1233,3,722,KASTA,,NA,NA,5,5
1234,3,723,KASTA,,NA,NA,5,5
1235,3,724,KASTA,,NA,NA,5,5
1236,3,725,KASTA,,NA,NA,5,5
1237,3,726,KASTA,,NA,NA,5,5
1238,3,727,KASTA,,NA,NA,5,5
1239,3,728,KASTA,,NA,NA,5,5
1240,3,729,KASTA,,NA,NA,5,5
1241,3,730,KASTA,,NA,NA,5,5
1242,3,731,KASTA,,NA,NA,5,5
1243,3,732,KASTA,,NA,NA,5,5
1244,3,733,KASTA,,NA,NA,5,5
1245,3,734,KASTA,,NA,NA,5,5
1246,3,735,KASTA,,NA,NA,5,5
1247,3,736,KASTA,,NA,NA,5,5
1248,3,737,KASTA,,NA,NA,5,5
1249,3,738,KASTA,,NA,NA,5,5
1250,3,739,KASTA,,NA,NA,5,5
1251,3,740,KASTA,,NA,NA,5,5
1252,3,741,KASTA,,NA,NA,5,5
1253,3,742,KASTA,,NA,NA,5,5
1254,3,743,KASTA,,NA,NA,5,5
1255,3,744,KASTA,,NA,NA,5,5
1256,3,745,KASTA,,NA,NA,5,5
1257,3,746,KASTA,,NA,NA,5,5
1258,3,747,KASTA,,NA,NA,5,5
1259,3,748,KASTA,,NA,NA,5,5
1260,3,749,KASTA,,NA,NA,5,5
1261,3,750,KASTA,,NA,NA,5,5
1262,3,751,KASTA,,NA,NA,5,5
1263,3,752,KASTA,,NA,NA,5,5
1264,3,753,KASTA,,NA,NA,5,5
1265,3,754,KASTA,,NA,NA,5,5
1266,3,755,KASTA,,NA,NA,5,5
1267,3,756,KASTA,,NA,NA,5,5
1268,3,757,KASTA,,NA,NA,5,5
1269,3,758,KASTA,,NA,NA,5,5
1270,3,759,KASTA,,NA,NA,5,5
1271,3,760,KASTA,,NA,NA,5,5
1272,3,761,KASTA,,NA,NA,5,5
1273,3,762,KASTA,,NA,NA,5,5
1274,3,763,KASTA,,NA,NA,5,5
1275,3,764,KASTA,,NA,NA,5,5
1276,3,765,KASTA,,NA,NA,5,5
1277,3,766,KASTA,,NA,NA,5,5
1278,3,767,KASTA,,NA,NA,5,5
1279,3,768,KASTA,,NA,NA,5,5
1280,3,769,KASTA,,NA,NA,5,5
1281,3,770,KASTA,,NA,NA,5,5
1282,3,771,KASTA,,NA,NA,5,5
1283,3,772,KASTA,,NA,NA,5,5
1284,3,773,KASTA,,NA,NA,5,5
1285,3,774,KASTA,,NA,NA,5,5
1286,3,775,KASTA,,NA,NA,5,5
1287,3,776,KASTA,,NA,NA,5,5
1288,3,777,KASTA,,NA,NA,5,5
1289,3,778,KASTA,,NA,NA,5,5
1290,3,779,KASTA,,NA,NA,5,5
1291,3,780,KASTA,,NA,NA,5,5
1292,3,781,KASTA,,NA,NA,5,5
1293,3,782,KASTA,,NA,NA,5,5
1294,3,783,KASTA,,NA,NA,5,5
1295,3,784,KASTA,,NA,NA,5,5
1296,3,785,KASTA,,NA,NA,5,5
1297,3,786,KASTA,,NA,NA,5,5
1298,3,787,KASTA,,NA,NA,5,5
1299,3,788,KASTA,,NA,NA,5,5
1300,3,789,KASTA,,NA,NA,5,5
1301,3,790,KASTA,,NA,NA,5,5
1302,3,791,KASTA,,NA,NA,5,5
1303,3,792,KASTA,,NA,NA,5,5
1304,3,793,KASTA,,NA,NA,5,5
1305,3,794,KASTA,,NA,NA,5,5
1306,3,795,KASTA,,NA,NA,5,5
1307,3,796,KASTA,,NA,NA,5,5
1308,3,797,KASTA,,NA,NA,5,5
1309,3,798,KASTA,,NA,NA,5,5
1310,3,799,KASTA,,NA,NA,5,5
1311,3,800,KASTA,,NA,NA,5,5
1312,3,801,KASTA,,NA,NA,5,5
1313,3,802,KASTA,,NA,NA,5,5
1314,3,803,KASTA,,NA,NA,5,5
1315,3,804,KASTA,,NA,NA,5,5
1316,3,805,KASTA,,NA,NA,5,5
1317,3,806,KASTA,,NA,NA,5,5
1318,3,807,KASTA,,NA,NA,5,5
1319,3,808,KASTA,,NA,NA,5,5
1320,3,809,KASTA,,NA,NA,5,5
1321,3,810,KASTA,,NA,NA,5,5
1322,3,811,KASTA,,NA,NA,5,5
1323,3,812,KASTA,,NA,NA,5,5
1324,3,813,KASTA,,NA,NA,5,5
1325,3,814,KASTA,,NA,NA,5,5
1326,3,815,KASTA,,NA,NA,5,5
1327,3,816,KASTA,,NA,NA,5,5
1328,3,817,KASTA,,NA,NA,5,5
1329,3,818,KASTA,,NA,NA,5,5
1330,3,819,KASTA,,NA,NA,5,5
1331,3,820,KASTA,,NA,NA,5,5
1332,3,821,KASTA,,NA,NA,5,5
1333,3,822,KASTA,,NA,NA,5,5
1334,3,823,KASTA,,NA,NA,5,5
1335,3,824,KASTA,,NA,NA,5,5
1336,3,825,KASTA,,NA,NA,5,5
1337,3,826,KASTA,,NA,NA,5,5
1338,3,827,KASTA,,NA,NA,5,5
1339,3,828,KASTA,,NA,NA,5,5
1340,3,829,KASTA,,NA,NA,5,5
1341,3,830,KASTA,,NA,NA,5,5
1342,3,831,KASTA,,NA,NA,5,5
1343,3,832,KASTA,,NA,NA,5,5
1344,3,833,KASTA,,NA,NA,5,5
1345,3,834,KASTA,,NA,NA,5,5
1346,3,835,KASTA,,NA,NA,5,5
1347,3,836,KASTA,,NA,NA,5,5
1348,3,837,KASTA,,NA,NA,5,5
1349,3,838,KASTA,,NA,NA,5,5
1350,3,839,KASTA,,NA,NA,5,5
1351,3,840,KASTA,,NA,NA,5,5
1352,3,841,KASTA,,NA,NA,5,5
1353,3,842,KASTA,,NA,NA,5,5
1354,3,843,KASTA,,NA,NA,5,5
1355,3,844,KASTA,,NA,NA,5,5
1356,3,845,KASTA,,NA,NA,5,5
1357,3,846,KASTA,,NA,NA,5,5
1358,3,847,KASTA,,NA,NA,5,5
1359,3,848,KASTA,,NA,NA,5,5
1360,3,849,KASTA,,NA,NA,5,5
1361,3,850,KASTA,,NA,NA,5,5
1362,3,851,KASTA,,NA,NA,5,5
1363,3,852,KASTA,,NA,NA,5,5
1364,3,853,KASTA,,NA,NA,5,5
1365,3,854,KASTA,,NA,NA,5,5
1366,3,855,KASTA,,NA,NA,5,5
1367,3,856,KASTA,,NA,NA,5,5
1368,3,857,KASTA,,NA,NA,5,5
1369,3,858,KASTA,,NA,NA,5,5
1370,3,859,KASTA,,NA,NA,5,5
1371,3,860,KASTA,,NA,NA,5,5
1372,3,861,KASTA,,NA,NA,5,5
1373,3,862,KASTA,,NA,NA,5,5
1374,3,863,KASTA,,NA,NA,5,5
1375,3,864,KASTA,,NA,NA,5,5
1376,3,865,KASTA,,NA,NA,5,5
1377,3,866,KASTA,,NA,NA,5,5
1378,3,867,KASTA,,NA,NA,5,5
1379,3,868,KASTA,,NA,NA,5,5
1380,3,869,KASTA,,NA,NA,5,5
1381,3,870,KASTA,,NA,NA,5,5
1382,3,871,KASTA,,NA,NA,5,5
1383,3,872,KASTA,,NA,NA,5,5
1384,3,873,KASTA,,NA,NA,5,5
1385,3,874,KASTA,,NA,NA,5,5
1386,3,875,KASTA,,NA,NA,5,5
1387,3,876,KASTA,,NA,NA,5,5
1388,3,877,KASTA,,NA,NA,5,5
1389,3,878,KASTA,,NA,NA,5,5
1390,3,879,KASTA,,NA,NA,5,5
1391,3,880,KASTA,,NA,NA,5,5
1392,3,881,KASTA,,NA,NA,5,5
1393,3,882,KASTA,,NA,NA,5,5
1394,3,883,KASTA,,NA,NA,5,5
1395,3,884,KASTA,,NA,NA,5,5
1396,3,885,KASTA,,NA,NA,5,5
1397,3,886,KASTA,,NA,NA,5,5
1398,3,887,KASTA,,NA,NA,5,5
1399,3,888,KASTA,,NA,NA,5,5
1400,3,889,KASTA,,NA,NA,5,5
1401,3,890,KASTA,,NA,NA,5,5
1402,3,891,KASTA,,NA,NA,5,5
1403,3,892,KASTA,,NA,NA,5,5
1404,3,893,KASTA,,NA,NA,5,5
1405,3,894,KASTA,,NA,NA,5,5
1406,3,895,KASTA,,NA,NA,5,5
1407,3,896,KASTA,,NA,NA,5,5
1408,3,897,KASTA,,NA,NA,5,5
1409,3,898,KASTA,,NA,NA,5,5
1410,3,899,KASTA,,NA,NA,5,5
1411,3,900,KASTA,,NA,NA,5,5
1412,3,901,KASTA,,NA,NA,5,5
1413,3,902,KASTA,,NA,NA,5,5
1414,3,903,KASTA,,NA,NA,5,5
1415,3,904,KASTA,,NA,NA,5,5
1416,3,905,KASTA,,NA,NA,5,5
1417,3,906,KASTA,,NA,NA,5,5
1418,3,907,KASTA,,NA,NA,5,5
1419,3,908,KASTA,,NA,NA,5,5
1420,3,909,KASTA,,NA,NA,5,5
1421,3,910,KASTA,,NA,NA,5,5
1422,3,911,KASTA,,NA,NA,5,5
1423,3,912,KASTA,,NA,NA,5,5
1424,3,913,KASTA,,NA,NA,5,5
1425,3,914,KASTA,,NA,NA,5,5
1426,3,915,KASTA,,NA,NA,5,5
1427,3,916,KASTA,,NA,NA,5,5
1428,3,917,KASTA,,NA,NA,5,5
1429,3,918,KASTA,,NA,NA,5,5
1430,3,919,KASTA,,NA,NA,5,5
1431,3,920,KASTA,,NA,NA,5,5
1432,3,921,KASTA,,NA,NA,5,5
1433,3,922,KASTA,,NA,NA,5,5
1434,3,923,KASTA,,NA,NA,5,5
1435,3,924,KASTA,,NA,NA,5,5
1436,3,925,KASTA,,NA,NA,5,5
1437,3,926,KASTA,,NA,NA,5,5
1438,3,927,KASTA,,NA,NA,5,5
1439,3,928,KASTA,,NA,NA,5,5
1440,3,929,KASTA,,NA,NA,5,5
1441,3,930,KASTA,,NA,NA,5,5
1442,3,931,KASTA,,NA,NA,5,5
1443,3,932,KASTA,,NA,NA,5,5
1444,3,933,KASTA,,NA,NA,5,5
1445,3,934,KASTA,,NA,NA,5,5
1446,3,935,KASTA,,NA,NA,5,5
1447,3,936,KASTA,,NA,NA,5,5
1448,3,937,KASTA,,NA,NA,5,5
1449,3,938,KASTA,,NA,NA,5,5
1450,3,939,KASTA,,NA,NA,5,5
1451,3,940,KASTA,,NA,NA,5,5
1454,4,16,Kerakat S.C.,Meerapur,NA,0.75,NA,NA
1455,4,21,Kerakat S.C.,Nehtaur,NA,0.666666667,NA,NA
1457,4,40,Kerakat S.C.,Naugawan Sadat,NA,NA,10,10
1458,4,46,Kerakat S.C.,Kithore,NA,0.666666667,NA,NA
1459,4,47,Kerakat S.C.,Meerut Cantt.,NA,0.416666667,NA,NA
1462,4,60,Kerakat S.C.,Garhmukteshwar,NA,0.571428571,NA,NA
1463,4,63,Kerakat S.C.,Jewar,NA,0.727272727,NA,NA
1465,4,78,Kerakat S.C.,Hathras ,NA,0.5,NA,NA
1467,4,87,Kerakat S.C.,Agra Cantt. ,NA,0.454545455,NA,NA
1468,4,91,Kerakat S.C.,Fatehpur Sikri,NA,0.5,NA,NA
1469,4,92,Kerakat S.C.,Kheragarh,NA,0.636363636,NA,NA
1470,4,106,Kerakat S.C.,Jalesar ,NA,0.545454545,NA,NA
1471,4,116,Kerakat S.C.,Shekhupur,NA,0.666666667,NA,NA
1472,4,125,Kerakat S.C.,Bareilly Cantt.,NA,0.5,NA,NA
1473,4,128,Kerakat S.C.,Barkhera,NA,0.636363636,NA,NA
1474,4,194,Kerakat S.C.,Farrukhabad,NA,0.785714286,NA,NA
1475,4,216,Kerakat S.C.,Kanpur Cantt.,NA,0.416666667,NA,NA
1477,4,233,Kerakat S.C.,Baberu,NA,0.727272727,NA,NA
1478,4,236,Kerakat S.C.,Chitrakoot,NA,0.583333333,NA,NA
1479,4,240,Kerakat S.C.,Fatehpur   ,NA,0.615384615,NA,NA
1484,4,277,Kerakat S.C.,Katehari,NA,0.545454545,NA,NA
1485,4,281,Kerakat S.C.,Akbarpur  ,NA,0.666666667,NA,NA
