bad_flag,tenure,margin,amtfin,exist
0,48,0.150183209,12.95465453,1
0,48,0.062763012,13.12236338,1
0,46,0.090761006,12.63460303,1
0,29,0.19810882,13.12236338,1
0,35,0.099994697,13.03503922,1
0,21,0.122083672,12.54254488,1
0,47,0.128065395,13.36922346,1
0,48,0,13.8924716,1
0,46,0.105226818,13.30468493,1
0,46,0.051724138,13.91082074,1
0,38,0.05977681,14.05845674,1
0,60,0.1,14.53213009,1
0,47,0.187487305,13.59236701,0
0,36,0.191919192,13.59236701,1
0,35,0.049522745,12.70684793,1
1,48,0,14.08934722,0
0,48,0,13.80434849,0
0,35,0.157945387,12.07254125,0
0,48,0.064263832,12.67545108,1
0,47,0.172024849,13.68197917,1
0,23,0.100141154,12.34365831,1
0,45,0.197130007,13.30468493,1
0,24,0.090277778,12.69924333,0
0,45,0.055534567,13.12236338,1
0,48,0.050046773,12.22145375,1
0,48,0.073757589,13.86349278,1
1,45,0.100589756,13.3534751,1
0,23,0.369308668,13.30468493,1
0,35,0.134199134,13.81551056,1
0,34,0.235141866,11.73606902,1
0,47,0.050204177,12.89118765,1
0,35,0.513181331,12.04355372,1
0,47,0.100752528,13.8411783,0
0,47,0.150205761,12.93120287,1
0,23,0.118023196,12.61153775,1
0,22,0.290360733,12.79385931,1
0,45,0.151771779,13.34550693,1
0,42,0.293288217,13.12236338,1
0,45,0.19299788,13.05654404,1
0,24,0.102941177,13.32121424,1
0,33,0.203591575,13.45883561,1
0,39,0.090277778,12.69924333,0
0,44,0.207185185,13.19030236,1
0,47,0.090198431,13.22699363,1
0,40,0.150321295,13.53711853,1
0,40,0.203450896,12.18075484,1
0,35,0.050683829,13.981025,1
0,35,0.050683829,13.981025,1
0,30,0.288963543,13.65299163,1
1,35,0.146320642,13.01700286,1
0,47,0.096688395,13.13033155,1
0,31,0.173123196,13.12236338,1
0,43,0.274835787,13.12236338,1
0,47,0.051189205,13.91082074,1
0,12,0.442984057,12.623631,0
0,60,0,13.83521416,1
0,45,0.232400653,12.50617724,1
0,60,0.132791302,13.71971526,1
0,36,0.11541739,12.61153775,1
0,36,0.100381204,13.07317313,1
0,40,0.310541902,13.00616658,1
0,42,0.398942455,12.84792653,1
0,24,0.49127907,13.45883561,0
0,47,0.100917431,13.79530785,1
0,35,0.263762578,12.89921983,1
0,60,0.179054955,13.30468493,1
0,23,0.217687075,11.65268741,1
0,47,0.230769231,13.81551056,1
0,35,0.146536303,13.81551056,1
0,35,0.087531813,12.84331063,1
0,34,0.05,12.94890245,1
0,45,0.0525397,13.88950424,1
0,33,0.008378161,14.45736444,1
0,20,0.395374372,12.4292162,1
0,33,0.152841032,13.52782849,1
0,36,0.149979345,13.12236338,1
0,29,0.10201687,12.61153775,1
0,24,0.126150351,12.69050296,1
0,24,0.126150351,12.69050296,1
0,24,0.146919855,13.07453775,1
0,23,0.41657113,12.20607265,1
0,10,0.223889591,12.04355372,1
0,36,0.108080608,13.10216067,1
0,36,0.14645577,13.4987429,0
0,47,0.050002506,12.68288119,1
0,12,0.307189434,12.4292162,1
0,40,0.136284018,13.12236338,0
0,24,0.574468085,12.61153775,1
0,36,0.100674347,12.62806706,1
0,48,0.200036485,14.07633518,0
0,46,0.1,14.68470968,1
0,35,0.006433409,12.99487086,1
0,23,0.364357721,12.94800999,1
0,45,0.105691057,13.91082074,1
0,28,0.09948851,12.61153775,1
0,32,0.212121212,12.46843691,0
